词语	强度
含蓼问疾	5
繁华	5
健壮	3
辽阔	3
轻捷	3
适当	5
香喷喷	5
雄厚	5
准确	5
清洌	3
宽大为怀	5
代代红	5
舍己救人	5
匡救	5
驰援	5
咏赞	7
称道	5
赞叹不已	7
娟秀	5
秀媚	5
分外夺目	5
毫不利己	5
廉明	5
道不拾遗	5
圣人	9
贤良	5
势不可当	5
准儿	3
入木三分	7
流芳千古	9
声名远播	7
有头有脸	5
精美绝伦	9
独占鳌头	7
一枝独秀	7
独具匠心	7
鹤立鸡群	9
不赖	3
钢铁长城	5
帮扶	3
宝地	7
报答	5
辈出	3
愤懑	-5
暴跳如雷	-9
戟指怒目	-7
怒形于色	-3
怒目切齿	-5
城下之盟	-7
抚髀兴叹	-3
吞吞吐吐	-3
夏日可畏	-3
败类	7
剥削	-3
猖獗	-3
臭架子	-1
苟延残喘	-1
悍然	-5
伎俩	-3
党羽	-3
讹诈	-5
飞扬跋扈	-3
复辟	-1
老狐狸	-7
笼络	-3
厌恶	-7
可憎	-7
叛徒	-5
欺凌	-3
敲诈	-5
屈辱	-3
轻蔑	-7
撒赖	-3
伤天害理	-9
为所欲为	-5
乌合之众	-5
吸血鬼	-7
阴谋	-5
指鹿为马	-5
罪有应得	-5
看轻	-1
兽行	-7
贪色	-3
作践	-9
凶相毕露	-5
棺材老板咬牙－恨不死人	-3
行同狗彘	-7
视如寇仇	-7
切齿腐心	-9
令人作呕	-9
不以为然	-7
文人相轻	-3
王八蛋	-7
姘妇	-3
揶揄	-3
癞皮狗	-7
元凶	-3
妖孽	-7
骚货	-9
中伤	-5
嘈杂	-1
愁肠寸断	-9
忧心如薰	-7
生吞蜈蚣－百爪挠心	-9
无所措手足	-5
不如意事常八九	-3
燥热	-3
无面目见江东父老	-9
船到江心补漏迟	-9
张皇	-3
浮躁	-5
心如悬旌	-5
脚忙手乱	-5
心如火焚	-9
不可企及	-7
嫉妒	-7
醋意	-1
猜忌	-5
败家子	-7
闭门造车	-5
草包	-7
乘人之危	-5
记仇	-5
妄求	-3
累世通好	5
人浮于事	-7
繁荣昌盛	7
鸿均之世	5
年丰时稔	5
五风十雨	5
分崩离析	-5
人欲横流	-7
拨乱反治	5
秋荼密网	-5
抑塞磊落	3
鞭笞天下	7
腹中兵甲	7
牛刀小试	3
臣门如市，臣心如水	7
欺瞒夹账	-9
卖官鬻狱	-9
口快心直	1
夺人所好	-7
营私舞弊	-7
缓急相济	3
久要不忘	7
言而不渝	7
卖友求荣	-9
废奢长俭	7
宽打窄用	5
斫雕为朴	9
金迷纸醉	-9
天下箸处	-7
别具只眼	5
推陈出新	7
地利人和	5
一路顺风	5
矢志不愈	7
称体裁衣	1
刚克柔克	1
知之为知之，不知为不知	3
唱筹量沙	-1
以人废言	-5
越凫楚乙	-5
东躲西藏	-3
大相径庭	-5
判若云泥	-7
坠茵落溷	-5
力疾从公	5
一板三眼	5
三反四覆	-5
归全反真	3
再作冯妇	5
与人为善	5
同归于尽	-1
良工巧匠	5
艺高胆大	5
火上浇油	-7
变古易常	5
先天不足	-1
乘风转舵	-5
以火救火	-3
海阔天空	5
善气迎人	1
珠联璧合	7
敢怒不敢言	-5
麟角凤嘴	7
致死不悟	-7
我行我素	-5
五马分尸	-5
黄口稚子	-5
天有不测风云	-3
茫无头绪	-5
不知天高地厚	-5
洞房花烛	5
陶猗之家	5
峻宇雕墙	3
立锥之地	-1
赏信罚明	5
黄道吉日	3
旁门左道	-7
大难临头	-5
骨瘦如柴	-5
药店飞龙	-5
不治之症	-5
驰名天下	9
名标青史	9
人死留名	5
谈笑风生	7
不经之谈	-3
混为一谈	-3
游谈无根	-5
巧言花语	-5
口头禅	-3
多嘴多舌	-5
唠唠叨叨	-3
絮絮叨叨	-3
即即世世	-3
随时制宜	3
没齿不忘	7
顿开茅塞	3
了若指掌	5
先知先觉	3
抚躬责己	5
隐晦曲折	-3
耳食之谈	-3
强龙不压地头蛇	-1
倚官仗势	-5
不耕而食，不蚕而衣	-3
欺罔视听	-7
甜嘴蜜舌	-5
鸿飞冥冥	5
前门进虎，后门进狼	-3
在劫难逃	-5
草衣木食	-1
等米下锅	-1
家道壁立	-3
纳履踵决	-3
飞短流长	-5
薏苡明珠	-5
利息秋毫	1
豺狐之心	-7
瓜蔓抄	-7
玉粒桂薪	-3
债台高筑	-7
刚毅不讷	7
无拳无勇	-5
鞍不离马，甲不离身	5
枕戈待旦	5
迟疑不决	-3
仓卒应战	-9
犹豫不定	-3
低首下心	-3
盖不由己	-3
锱铢必较	-7
张公吃酒李公醉	-3
鼠窜狼奔	-5
嘴甜心苦	-5
强盗挂念珠	-7
见事风生	-5
报仇雪恨	-7
招权纳赂	-5
歧路亡羊	-5
千了百当	3
冬扇夏炉	-5
喧宾夺主	-5
日月交食	-5
漏脯充饥	-7
束手待毙	-5
抛头露面	-5
原形毕露	-7
因祸得福	5
人民城郭	-5
自相残杀	-7
强人所难	-5
有隙可乘	-3
欺善怕恶	-7
肆意横行	-7
横行天下	-7
知情不举	-7
博士买驴	-3
屦贱踊贵	-3
结党营私	-9
招降纳叛	-5
任其自便	-3
惹祸招殃	-5
招风惹草	-5
鼓噪而起	-5
出乖露丑	-5
谏鼓谤木	5
高下在心	3
殚智竭力	7
草草收兵	-5
图谋不轨	-5
贪欢逐乐	-7
春深似海	5
天朗气清	7
秋高气肃	5
天府之国	9
群芳竟艳	5
绿水青山	7
光彩耀日	5
